heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,9,3,3,1,94,4,69,75,74
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,4,8,3,2,90,4,50,33,34
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,1,10,4,3,88,4,20,9,10
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,10,3,7,5,4,91,4,43,30,31
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,10,4,6,5,5,91,4,50,40,41
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,8,0,8,7,6,0,0,0,0,0
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,97,4,75,100,97
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,2,97,4,75,100,97
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,3,97,4,75,100,97
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,11,11,0,3,4,97,4,73,100,96
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,7,7,0,7,5,96,4,64,100,95
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,4,4,0,10,6,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,97,4,75,100,97
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,2,97,4,75,100,97
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,10,0,11,3,97,4,71,100,96
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,13,13,0,8,4,97,4,76,100,97
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,9,9,0,12,5,97,4,69,100,96
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,6,97,4,75,100,97
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,5,5,4,1,92,4,56,50,51
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,5,5,4,2,92,4,56,50,51
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,4,6,4,3,91,4,50,40,41
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,9,5,4,5,4,93,4,56,56,56
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,5,0,5,9,5,0,0,0,0,0
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,5,0,5,9,6,0,0,0,0,0
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,97,4,76,100,97
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,7,6,3,2,92,4,64,54,55
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,11,2,3,3,95,4,73,85,83
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,11,10,1,5,4,96,4,71,91,88
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,10,8,2,6,5,95,4,67,80,78
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,9,3,6,7,6,91,4,43,33,34
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,97,4,71,100,96
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,97,4,71,100,96
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,9,1,4,3,96,4,69,90,87
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,9,8,1,5,4,96,4,67,89,86
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,9,8,1,5,5,96,4,67,89,86
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,9,8,1,5,6,96,4,67,89,86
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,97,4,69,100,96
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,2,97,4,69,100,96
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,3,97,4,69,100,96
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,8,8,0,1,4,96,4,67,100,95
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,7,7,0,2,5,96,4,64,100,95
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,6,6,0,3,6,96,4,60,100,94
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,1,0,0,0,0,0
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,2,0,0,0,0,0
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,3,0,0,0,0,0
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,4,0,0,0,0,0
smoothgrad,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,5,0,0,0,0,0
